game_id,date,home_club_id,away_club_id
4087952,8/27/2023 12:00:00 AM,762,31
4087956,9/2/2023 12:00:00 AM,1237,762
4095141,10/1/2023 12:00:00 AM,703,1148
4095316,2/10/2024 12:00:00 AM,703,762
4095288,1/30/2024 12:00:00 AM,1031,1237
4095250,12/23/2023 12:00:00 AM,1031,762
4095278,1/20/2024 12:00:00 AM,1148,703
4095152,10/7/2023 12:00:00 AM,1031,148
4095296,2/4/2024 12:00:00 AM,989,703
4095304,2/3/2024 12:00:00 AM,762,1031
4087931,8/13/2023 12:00:00 AM,1148,148
4095273,12/31/2023 12:00:00 AM,148,989
4095276,1/21/2024 12:00:00 AM,989,31
4087968,9/16/2023 12:00:00 AM,762,1148
4095269,1/1/2024 12:00:00 AM,31,762
4095208,12/2/2023 12:00:00 AM,1148,1031
4087944,8/26/2023 12:00:00 AM,989,148
4095203,11/25/2023 12:00:00 AM,703,1237
4095290,1/31/2024 12:00:00 AM,148,1148
4095180,11/5/2023 12:00:00 AM,1031,31
4095163,10/21/2023 12:00:00 AM,703,1031
4095244,12/15/2023 12:00:00 AM,703,148
4095147,10/8/2023 12:00:00 AM,1237,31
4095234,12/10/2023 12:00:00 AM,148,762
4095192,11/12/2023 12:00:00 AM,31,1148
4095252,12/23/2023 12:00:00 AM,703,989
4095143,9/30/2023 12:00:00 AM,148,31
4087937,8/19/2023 12:00:00 AM,31,989
4095186,11/11/2023 12:00:00 AM,989,762
4095064,9/24/2023 12:00:00 AM,1237,989
4087955,9/2/2023 12:00:00 AM,1148,989
4087927,8/12/2023 12:00:00 AM,1237,1031
4095259,12/28/2023 12:00:00 AM,1237,148
4095317,2/10/2024 12:00:00 AM,148,1237
4095217,12/6/2023 12:00:00 AM,1237,1148
4095172,10/29/2023 12:00:00 AM,31,703
4095264,12/26/2023 12:00:00 AM,762,703
